PID,valence,arousal
13,97.75,83
14,29.4,32.4
14,30.33333333,30.66666667
14,31.5,33.75
14,35.83333333,35.33333333
14,36.5,37.66666667
14,40.4,42.33333333
14,40.6,43.8
14,40.66666667,49.5
14,42.28571429,35.71428571
14,43.66666667,43.66666667
14,45.16666667,45.5
14,48.66666667,51.33333333
14,51,53
14,58,57
15,51.75,55.75
15,58.28571429,67
15,61.8,58.6
15,64.16666667,91
15,64.71428571,65.71428571
15,67.8,50
15,68.6,65.6
15,75.66666667,81.33333333
15,79.25,80.25
15,79.83333333,66.5
15,89.83333333,58.66666667
15,92.5,84
15,95.16666667,80.16666667
15,96.83333333,88.5
16,13,15.5
16,28.5,30.66666667
16,33,30.16666667
16,36.25,28.25
16,37.5,36.66666667
16,37.6,49
16,42.2,28.66666667
16,43.5,47.5
16,44,33.57142857
16,47.8,43.6
16,57.5,20.33333333
16,59.66666667,42
16,60.5,62
16,65.6,52
17,30,46.4
17,33.2,43.66666667
17,39.5,54.66666667
17,47.2,69.83333333
17,49,51.33333333
17,50.4,61
17,51,73.66666667
17,54,78.25
17,59.83333333,70
17,65.4,62.75
18,53,65.2
18,53.5,58.5
18,58.6,60.5
18,64,58.33333333
18,64.16666667,63.66666667
18,66.16666667,59
18,66.16666667,56
18,66.4,74
18,68.33333333,63.66666667
18,70.83333333,54.66666667
18,73.8,60.2
18,75,69
18,75,68.5
18,78.66666667,65.5
19,27,49.33333333
19,29.4,39.83333333
19,29.66666667,37.5
19,33.5,55.33333333
19,35,51.16666667
19,41.28571429,35.85714286
19,44.6,33.4
19,46.5,78
19,46.75,42.8
19,47.4,42.5
19,48.66666667,38.33333333
19,49,51.33333333
19,50,56
19,52.75,64.33333333
20,38.33333333,18.66666667
20,47.16666667,27
20,48.16666667,20.5
20,51,26.16666667
20,51.8,25.6
20,53.66666667,21.5
20,54.8,32.8
20,57,26.8
20,57,27.28571429
20,57.16666667,42.33333333
20,59,19
20,59.4,25
20,64.2,22.6
20,68,41.83333333
